year,actual_gap,sex_only_gap,race_only_gap,naive_additive_gap,invisibility_index,invisibility_pct
2010,1057.5159005770793,424.0021344696286,645.2509265464803,1069.2530610161089,-11.737160439029594,-1.109880280062428
2011,1143.9556525810208,468.7093678825322,698.1134630397223,1166.8228309222545,-22.86717834123374,-1.9989567156419263
2012,1266.575033472619,546.2386015752702,746.5183899747319,1292.756991550002,-26.181958077383115,-2.067146231802707
2013,1427.3481281969553,637.8675418892531,823.8365310936631,1461.7040729829162,-34.3559447859609,-2.406977254340872
2014,1569.1442223551794,692.6297668849243,918.3418355398896,1610.971602424814,-41.8273800696345,-2.665617313802706
2015,1695.7703419045808,706.1603039144675,1028.065999818924,1734.2263037333914,-38.45596182881059,-2.267757660251288
2016,1805.0781824608398,725.6394840279017,1113.19040319166,1838.8298872195617,-33.75170475872187,-1.8698195505697492
2018,1920.8128843246827,726.5383448018392,1219.0172904221279,1945.555635223967,-24.742750899284374,-1.2881395736775996
2021,2124.8227152619475,759.6022153338085,1387.0071158087148,2146.6093311425234,-21.786615880575937,-1.025338054045139
2022,3232.1748849316846,1206.8231242710635,2137.7588724676284,3344.581996738692,-112.40711180700737,-3.477754632988654
2023,2525.07801406033,831.1536276802799,1807.8927056166353,2639.0463332969152,-113.9683192365851,-4.513457350702755
2024,2622.1780520731527,813.3729230499284,1896.4309844911186,2709.803907541047,-87.62585546789433,-3.341720269476566
